chrom	left_start	left_end	right_start	right_end
BavtPat1.fa	31	55	474	496
BavtPat1.fa	3106	3135	3601	3623
BavtPat1.fa	3461	3483	3922	3949
BavtPat1.fa	3767	3789	4241	4263
BavtPat1.fa	4112	4138	4611	4635
BavtPat1.fa	4460	4490	4984	5009
BavtPat1.fa	4810	4838	5338	5360
BavtPat1.fa	5198	5225	5691	5713
BavtPat1.fa	5564	5587	6016	6038
BavtPat1.fa	5878	5905	6359	6381
BavtPat1.fa	6219	6247	6649	6673
BavtPat1.fa	345	367	846	868
BavtPat1.fa	6523	6545	7000	7022
BavtPat1.fa	6859	6886	7373	7395
BavtPat1.fa	7234	7256	7672	7695
BavtPat1.fa	7538	7566	8004	8026
BavtPat1.fa	7849	7877	8364	8386
BavtPat1.fa	8225	8254	8700	8722
BavtPat1.fa	8570	8599	8998	9020
BavtPat1.fa	8865	8887	9307	9331
BavtPat1.fa	9169	9193	9644	9668
BavtPat1.fa	9486	9516	9956	9978
BavtPat1.fa	705	727	1184	1206
BavtPat1.fa	9826	9855	10261	10284
BavtPat1.fa	10136	10158	10570	10592
BavtPat1.fa	10430	10452	10886	10909
BavtPat1.fa	10750	10778	11188	11210
BavtPat1.fa	11048	11073	11515	11537
BavtPat1.fa	11374	11396	11810	11834
BavtPat1.fa	11669	11694	12160	12182
BavtPat1.fa	12020	12042	12451	12474
BavtPat1.fa	12314	12336	12742	12765
BavtPat1.fa	12615	12641	13115	13137
BavtPat1.fa	1056	1078	1508	1530
BavtPat1.fa	12983	13009	13439	13461
BavtPat1.fa	13308	13337	13809	13831
BavtPat1.fa	13670	13700	14177	14199
BavtPat1.fa	14037	14064	14553	14575
BavtPat1.fa	14418	14447	14880	14902
BavtPat1.fa	14755	14779	15224	15246
BavtPat1.fa	15087	15109	15537	15559
BavtPat1.fa	15376	15398	15835	15859
BavtPat1.fa	15712	15734	16202	16224
BavtPat1.fa	16064	16091	16570	16592
BavtPat1.fa	1373	1396	1876	1898
BavtPat1.fa	16431	16461	16857	16881
BavtPat1.fa	16728	16753	17171	17193
BavtPat1.fa	17034	17061	17531	17553
BavtPat1.fa	17394	17416	17881	17904
BavtPat1.fa	17752	17779	18254	18276
BavtPat1.fa	18123	18151	18597	18619
BavtPat1.fa	18456	18478	18884	18906
BavtPat1.fa	18755	18783	19258	19282
BavtPat1.fa	19101	19131	19549	19571
BavtPat1.fa	19397	19423	19845	19867
BavtPat1.fa	1735	1764	2245	2267
BavtPat1.fa	19675	19702	20178	20207
BavtPat1.fa	20023	20046	20460	20482
BavtPat1.fa	20324	20354	20770	20795
BavtPat1.fa	20625	20650	21143	21165
BavtPat1.fa	21008	21038	21429	21458
BavtPat1.fa	21295	21317	21775	21798
BavtPat1.fa	21634	21658	22093	22115
BavtPat1.fa	21962	21991	22424	22446
BavtPat1.fa	22294	22321	22780	22802
BavtPat1.fa	22641	22666	23123	23145
BavtPat1.fa	2116	2143	2621	2643
BavtPat1.fa	22986	23008	23498	23520
BavtPat1.fa	23372	23396	23853	23877
BavtPat1.fa	23725	23751	24182	24204
BavtPat1.fa	24044	24066	24516	24538
BavtPat1.fa	24390	24415	24856	24878
BavtPat1.fa	24715	24737	25211	25235
BavtPat1.fa	25052	25077	25548	25570
BavtPat1.fa	25422	25447	25903	25925
BavtPat1.fa	25771	25793	26203	26225
BavtPat1.fa	26062	26088	26521	26543
BavtPat1.fa	2493	2515	2932	2955
BavtPat1.fa	26387	26414	26836	26858
BavtPat1.fa	26710	26732	27142	27165
BavtPat1.fa	27008	27032	27499	27521
BavtPat1.fa	27360	27384	27873	27895
BavtPat1.fa	27732	27760	28182	28204
BavtPat1.fa	28055	28080	28530	28552
BavtPat1.fa	28395	28417	28830	28852
BavtPat1.fa	28699	28721	29206	29228
BavtPat1.fa	29082	29104	29527	29549
BavtPat1.fa	29397	29419	29824	29849
BavtPat1.fa	2787	2815	3236	3258
